key,product_name,currency_symbol,price,product_url,color,title
A0022VAAG391063,Bamboo Tote large bag,$,4450.0,https://www.gucci.com/us/en/pr/women/handbags/shoulder-bags-for-women/bamboo-tote-large-bag-p-A0022VAAG391063,Black,"Bamboo Tote large bag $ 4,450 Black"
A0022VAAG222742,Bamboo Tote large bag,$,4450.0,https://www.gucci.com/us/en/pr/women/handbags/shoulder-bags-for-women/bamboo-tote-large-bag-p-A0022VAAG222742,Brown,"Bamboo Tote large bag $ 4,450 Brown"
A0022VAAG239760,Bamboo Tote large bag,$,4450.0,https://www.gucci.com/us/en/pr/women/handbags/shoulder-bags-for-women/bamboo-tote-large-bag-p-A0022VAAG239760,Beige,"Bamboo Tote large bag $ 4,450 Beige"
A0020YFAFY19651,Horsebit Ristretto medium shoulder bag,$,2950.0,https://www.gucci.com/us/en/pr/women/handbags/shoulder-bags-for-women/horsebit-ristretto-medium-shoulder-bag-p-A0020YFAFY19651,Beige,"Horsebit Ristretto medium shoulder bag $ 2,950 Beige"
A0020YAAGRB1000,Horsebit Ristretto medium shoulder bag,$,3350.0,https://www.gucci.com/us/en/pr/women/handbags/shoulder-bags-for-women/horsebit-ristretto-medium-shoulder-bag-p-A0020YAAGRB1000,Black,"Horsebit Ristretto medium shoulder bag $ 3,350 Black"
A0020YAAGRB9214,Horsebit Ristretto medium shoulder bag,$,3350.0,https://www.gucci.com/us/en/pr/women/handbags/shoulder-bags-for-women/horsebit-ristretto-medium-shoulder-bag-p-A0020YAAGRB9214,White,"Horsebit Ristretto medium shoulder bag $ 3,350 White"
A0020YAAGRB9730,Horsebit Ristretto medium shoulder bag,$,3350.0,https://www.gucci.com/us/en/pr/women/handbags/shoulder-bags-for-women/horsebit-ristretto-medium-shoulder-bag-p-A0020YAAGRB9730,Beige,"Horsebit Ristretto medium shoulder bag $ 3,350 Beige"
866732FAFV99653,,,,https://www.gucci.com/us/en/pr/-p-866732FAFV99653,,
866732AAGIR2146,Borsetto medium boston bag,$,3100.0,https://www.gucci.com/us/en/pr/women/handbags/crossbody-bags-for-women/borsetto-medium-boston-bag-p-866732AAGIR2146,Brown,"Borsetto medium boston bag $ 3,100 Brown"
866734FAFV99653,Borsetto large boston bag,$,3100.0,https://www.gucci.com/us/en/pr/women/handbags/top-handle-bags-for-women/borsetto-large-boston-bag-p-866734FAFV99653,Beige,"Borsetto large boston bag $ 3,100 Beige"
866734AAGIR2146,Borsetto large boston bag,$,3450.0,https://www.gucci.com/us/en/pr/women/handbags/top-handle-bags-for-women/borsetto-large-boston-bag-p-866734AAGIR2146,Brown,"Borsetto large boston bag $ 3,450 Brown"
866732AAGIQ1053,Borsetto medium boston bag,$,3100.0,https://www.gucci.com/us/en/pr/women/handbags/crossbody-bags-for-women/borsetto-medium-boston-bag-p-866732AAGIQ1053,Black,"Borsetto medium boston bag $ 3,100 Black"
875018AAGIQ1053,Paparazzo medium top handle bag,$,3650.0,https://www.gucci.com/us/en/pr/women/handbags/shoulder-bags-for-women/paparazzo-medium-top-handle-bag-p-875018AAGIQ1053,Black,"Paparazzo medium top handle bag $ 3,650 Black"
875018FAFV99653,Paparazzo medium top handle bag,$,3250.0,https://www.gucci.com/us/en/pr/women/handbags/shoulder-bags-for-women/paparazzo-medium-top-handle-bag-p-875018FAFV99653,Beige,"Paparazzo medium top handle bag $ 3,250 Beige"
875019AAGIQ1053,Paparazzo large top handle bag,$,3950.0,https://www.gucci.com/us/en/pr/women/handbags/shoulder-bags-for-women/paparazzo-large-top-handle-bag-p-875019AAGIQ1053,Black,"Paparazzo large top handle bag $ 3,950 Black"
866762FAFV99653,Gucci Horsebit 1955 small shoulder bag,$,2750.0,https://www.gucci.com/us/en/pr/women/handbags/shoulder-bags-for-women/gucci-horsebit-1955-small-shoulder-bag-p-866762FAFV99653,Beige,"Gucci Horsebit 1955 small shoulder bag $ 2,750 Beige"
